Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,coordinates,original_latitude,original_longitude,new_latitude,new_longitude
East First Grocery,78702.0,2022-12-21,92,"1811 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",10120977,Routine Inspection,"['30.25719', ' -97.72483']",30.25719, -97.72483,30.2570121,-97.7249364
Omni Barton Creek Resort & Spa - Jim Bobs,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12176494,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.291258,-97.8583
PF - Fresh Donuts,78660.0,2022-12-21,92,"20205 FM 685 RD PFLUGERVILLE, TX 78660 ",12396150,Routine Inspection,"['30.48383', ' -97.58443']",30.48383, -97.58443,30.4843443,-97.5839149
Austin Shell,78702.0,2022-12-21,84,"701 N IH AUSTIN, TX 78702",2803879,Routine Inspection,,,,30.2666927,-97.7335508
Walgreens ,78756.0,2022-12-21,98,"5819 BURNET RD AUSTIN, TX 78756 ",10245461,Routine Inspection,"['30.33399', ' -97.73995']",30.33399, -97.73995,30.3339677,-97.7394551
Omni Barton Creek Resort & Spa-Banquet Kitchen,78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",11084428,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.2905891,-97.8577945
Omni Barton Creek Resort & Spa (Blind Salamander),78735.0,2022-12-21,100,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12176481,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.2905891,-97.8577945
Travel Lodge,78741.0,2022-12-21,92,"2915 S IH AUSTIN, TX 78741",10994739,Routine Inspection,,,,30.2266947,-97.7438574
PF- Accent Food Services - The Boring Company,78660.0,2022-12-21,100,"15709 IMPACT WAY PFLUGERVILLE, TX 78660 ",12396049,Routine Inspection,"['30.41644', ' -97.58947']",30.41644, -97.58947,30.4158652,-97.5895749
Omni Barton Creek Resort & Spa - Crenshaws,78735.0,2022-12-21,98,"8212 BARTON CLUB DR AUSTIN, TX 78735 ",12183571,Routine Inspection,"['30.289977', ' -97.854022']",30.289977, -97.854022,30.2905891,-97.8577945
Red Lobster # 0314,78704.0,2022-12-21,93,"3815 S LAMAR BLVD AUSTIN, TX 78704 ",11183314,Routine Inspection,"['30.23818', ' -97.78996']",30.23818, -97.78996,30.2375911,-97.7896055
Central Texas Rehabilitation Hospital,78751.0,2022-12-21,97,"700 W 45TH ST AUSTIN, TX 78751 ",10755083,Routine Inspection,"['30.31194', ' -97.73484']",30.31194, -97.73484,30.3123466,-97.7347327
Pok-E-Jo's Hancock,78751.0,2022-12-21,94,"1000 E 41ST ST AUSTIN, TX 78751 ",2803036,Routine Inspection,"['30.29805', ' -97.71896']",30.29805, -97.71896,30.298539,-97.718805
Taco Bell ,78759.0,2022-12-21,92,"4811 W BRAKER LN AUSTIN, TX 78759 ",11066733,Routine Inspection,"['30.40064', ' -97.74728']",30.40064, -97.74728,30.4002252,-97.7472787
"Old Pecan St. Cafe @ Copper Tank, The",78701.0,2022-12-21,77,"504 TRINITY ST AUSTIN, TX 78701 ",10369442,Routine Inspection,"['30.26634', ' -97.73962']",30.26634, -97.73962,30.2664692,-97.7398879
