Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
China Steakhouse,78738.0,2022-12-20,92,"15511 W SH BEE CAVE, TX 78738",12392920,Routine Inspection
WL - Jersey Mikes Subs,78746.0,2022-12-20,94,"3300 BEE CAVES RD WEST LAKE HILLS, TX 78746 ",12186412,Routine Inspection
De Nada Cantina,78702.0,2022-12-20,90,"4715 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",12394581,Routine Inspection
Riverside Grocery,78741.0,2022-12-20,94,"1727 E RIVERSIDE DR AUSTIN, TX 78741 ",10007389,Routine Inspection
Tinnin Food Mart,78741.0,2022-12-20,91,"1516 TINNIN FORD RD AUSTIN, TX 78741 ",10051034,Routine Inspection
Wingstop # 1219,78723.0,2022-12-20,99,"5455 N IH AUSTIN, TX 78723",11648746,Routine Inspection
Onion Creek Country Club,78747.0,2022-12-20,100,"2510 ONION CREEK PKWY AUSTIN, TX 78747 ",12185622,Routine Inspection
Bawarchi Biryani's,78729.0,2022-12-20,72,"7318 MC NEIL DR AUSTIN, TX 78729 ",12186200,Routine Inspection
MT Supermarket - Meat/Seafood,78753.0,2022-12-20,89,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",12393921,Routine Inspection
Sonic Drive - In ,78729.0,2022-12-20,86,"6816 MC NEIL DR AUSTIN, TX 78729 ",12393742,Routine Inspection
BC - Domino's,78738.0,2022-12-20,95,"15500 W SH BEE CAVE, TX 78738",11938950,Routine Inspection
Moviehouse & Eatery,78726.0,2022-12-20,90,"8300 N FM 620 RD AUSTIN, TX 78726 ",12393083,Routine Inspection
Munkebo Farms,78727.0,2022-12-20,99,"12117 PECAN ST AUSTIN, TX 78727 ",12185684,Routine Inspection
Accent Food Services - Rutherford Bldg 4,78754.0,2022-12-20,100,"1520 RUTHERFORD LN AUSTIN, TX 78754 ",12394531,Routine Inspection
Express - O,78702.0,2022-12-20,90,"2228 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",11650787,Routine Inspection
Phonatic,78757.0,2022-12-20,74,"2525 W ANDERSON LN AUSTIN, TX 78757 ",12393268,Routine Inspection
WL - Tokyo Gardens Sushi Bar,78746.0,2022-12-20,99,701 S CAPITAL OF TEXAS HWY NB UNIT C-300 WEST LAKE HILLS TX 78746 ,10135293,Routine Inspection
Sunrise Market,78723.0,2022-12-20,80,"6303 CAMERON RD AUSTIN, TX 78723 ",11987780,Routine Inspection
